concept,description,source
"Başvuru merkeziyim, sistemim hata veriyor. Nasıl yardımcı olabilirsiniz?",444 67 96 ÖSYM Çağrı Merkezinden bilgi alabilirsiniz.,"https://www.osym.gov.tr/TR,8808/genel.html/11"
Sınavlarda görev almak istiyorum ne yapmalıyım?,444 67 96 ÖSYM Çağrı Merkezinden bilgi alabilirsiniz. ,"https://www.osym.gov.tr/TR,8808/genel.html/12"
Sınava giriş belgemi nasıl alacağım?,Aday işlemleri sisteminden sınava giriş belgenizi edinebilirsiniz. ,"https://www.osym.gov.tr/TR,8808/genel.html/13"
Başvuru esnasında yanlışlıkla fotoğraf başkasına bilgiler başkasına ait olarak kayıt yaptık bunun düzeltilmesi mümkün mü?,444 67 96 ÖSYM Çağrı Merkezinden bilgi alabilirsiniz.,"https://www.osym.gov.tr/TR,8808/genel.html/14"
Bir başkası benim adıma şifre alabilir mi?,Sınav koordinatörlükleri veya sınav koordinatörlüğü yetkisi olan başvuru merkezlerinden şahsen nüfus cüzdanınızla şifre alabilirsiniz.,"https://www.osym.gov.tr/TR,8808/genel.html/15"
Başörtülü fotoğraf çektirebilir miyim?,"Fotoğraf, adayın fiziksel olarak tanınmasını sağlayacak nitelikte olmalıdır. Tanınabilir bir şekilde başörtülü çektirebilirsiniz.","https://www.osym.gov.tr/TR,8808/genel.html/16"
Nüfus cüzdanımı kaybettim sınava girebilecek miyim? Ehliyetim sınava girebilmem için yeterli mi?,Güvenlik tedbirleri dolayısı ile nüfus cüzdanınız veya süresi geçerli pasaportunuz dışında bir kimlikle sınava giremezsiniz. ,"https://www.osym.gov.tr/TR,8808/genel.html/17"
Giriş belgemde yazılı olan okul verilen adreste yok. Ne yapmalıyım?,Bu durumu İl/İlçe Sınav Merkezi Koordinatörlüğüyle görüşebilirsiniz. ,"https://www.osym.gov.tr/TR,8808/genel.html/18"
Yurt dışında sınava girebilir miyim?,Yurt dışında sınav uygulamamız yok.,"https://www.osym.gov.tr/TR,8808/genel.html/19"
İki tane lisans diplomam var KPSS ye her ikisiyle de başvuru yapabilir miyim?,"2014 yılı itibarıyla birden fazla eğitim bilgisi ekletebilir, tercihlerde de kullanabilirsiniz.","https://www.osym.gov.tr/TR,8808/genel.html/20"
Sonuçlar ne zaman açıklanacak?,ÖSYM’nin İnternet(www.osym.gov.tr) sayfasındaki duyurular ve sonuçlar kısmından takip edebilirsiniz.  ,"https://www.osym.gov.tr/TR,8808/genel.html/21"
"Cevap kâğıdıma adımı, soyadımı ya da T.C kimlik numaramı kodlamayı unuttum, ne yapabilirim?","Bu durumla ilgili, merkezimize genel amaçlı bir dilekçe gönderebilirsiniz.","https://www.osym.gov.tr/TR,8808/genel.html/22"
"Sınav esnasında hakkımda tutanak tutuldu, sınavım geçersiz olur mu?",Sonuçların açıklanmasını beklemeniz gerekmektedir.,"https://www.osym.gov.tr/TR,8808/genel.html/23"
"Sınav esnasında gözetmenle sorun yaşadım. Şikâyet etmek istiyorum, nasıl yapacağım?",Merkezimize bu konuyla ilgili bir dilekçe gönderebilirsiniz.,"https://www.osym.gov.tr/TR,8808/genel.html/24"
Sınav soru ve cevapları ne zaman açıklanacak?,ÖSYM’nin İnternet(www.osym.gov.tr) sayfasındaki Duyurular kısmından takip etmeniz gerekmektedir.,"https://www.osym.gov.tr/TR,8808/genel.html/25"
Sınav salonunda saat yoktu. Neden adaylara saat dağıtılmıyor?,Bu konuyla ilgili şikâyet ve isteklerinizi Merkezimize dilekçeyle bildirebilirsiniz.,"https://www.osym.gov.tr/TR,8808/genel.html/26"
Sınav sonuç belgesi tarafımıza gönderilecek mi?,"Sınav sonuç belgeleri postalanmamaktadır, ÖSYM’nin İnternet sayfasından sonuç belgesini edinebilirsiniz.","https://www.osym.gov.tr/TR,8808/genel.html/27"
"Geçmiş yıllara ait sınav sonuç belgesi almak istiyorum, ne yapmalıyım?",ÖSYM’nin İnternet sayfasındaki sonuçlar bölümünden T.C. kimlik numaranız ve şifrenizle edinebilirsiniz veya bir dilekçe ile ÖSYM’den talep edebilirsiniz. Ankara’da bir yakınınız varsa sizin adınıza evrak referans numaranızla ÖSYM’den alabilir.   ,"https://www.osym.gov.tr/TR,8808/genel.html/28"
"Sınav puanım beklediğimden düşük geldi, ne yapabilirim?",Sınav sonucunuzun yeniden değerlendirilmesi için itiraz süresi içerisinde ÖSYM’ ye incelenme masrafları için 5 TL yatırmış olduğunuz banka dekontu ve genel amaçlı dilekçe ile başvurmanız gerekmektedir.,"https://www.osym.gov.tr/TR,8808/genel.html/29"
"Okul olarak ÖSYS  için başarı sıramızı öğrenmek istiyoruz, ne yapabiliriz?",ÖSYM ‘nin İnternet sayfasında yayımlanan istatistiki bilgilere bakmanız gerekmektedir.,"https://www.osym.gov.tr/TR,8808/genel.html/30"
Sınavla ilgili istatistiki bilgilere nasıl ulaşabiliriz?,ÖSYM’nin İnternet(www.osym.gov.tr)  sayfasında açıklanan istatistiki bilgilere bakabilirsiniz.,"https://www.osym.gov.tr/TR,8808/genel.html/31"
Geçmiş yıllarda çıkmış soruları toparlayıp kitap haline getirmek istiyoruz. İzlememiz gereken süreç nedir?,Merkezimize bu konu ile ilgili genel amaçlı dilekçe göndermeniz gerekmektedir.,"https://www.osym.gov.tr/TR,8808/genel.html/32"
Sınav sonucumuza ne zamana kadar itiraz edebiliyoruz?,"Sınav sonucunuza itiraz süresine, sınava ait başvuru kılavuzundan bakabilirsiniz.","https://www.osym.gov.tr/TR,8808/genel.html/33"
"Askerdeyim veya tutukluyum, şifremi nasıl alabilirim?","Tutuklu ya da zorunlu askerlik görevini yapmakta olanların, bulundukları cezaevi müdürlükleri ya da askeri birlik komutanlarının resmi yazı ile müracaat etmesi halinde, adayın ismine düzenlenmiş kapalı zarf içinde adaya iletilmek üzere şifre verilmektedir.","https://www.osym.gov.tr/TR,8808/genel.html/34"
"Şifremi unuttum, yeni şifre alamıyorum. “Sistemde güvenlik sorunuz tanımlı değildir. “ uyarısı veriyor. Ne yapabilirim?",Şifre değiştirme işlemi yaparken bir güvenlik sorusu belirlemediğinizden dolayı sistem size bu uyarıyı veriyor. Size en yakın Sınav Koordinatörlüğü yetkisi olan başvuru merkezi konumundaki bir ortaöğretim kurumundan veya sınav Koordinatörlüklerimizden şifre edinebilirsiniz.,"https://www.osym.gov.tr/TR,8808/genel.html/35"
T.C. kimlik numaramı ve şifremi yazdığım zaman aday işlemleri sistemine giriş yapamıyorum. T.C. kimlik numarası veya şifre hatası uyarısıyla karşılaşıyorum. Ne yapmalıyım?,"Şifreniz yeni kurallara uygun olarak en az 8 haneli en fazla 14 haneli olmalı, en az bir büyük harf,  bir küçük harf,  bir rakam ve bir özel karakter içermelidir. Eğer şifreniz bu koşullara uymuyorsa yeni bir şifre belirleyiniz ya da şifremi unuttum kısmından yeni bir şifre oluşturunuz.","https://www.osym.gov.tr/TR,8808/genel.html/36"
Sistemde kayıtlı olan adres bilgilerimi değiştirmek istiyorum. Bunu ne zaman ve nasıl yapmalıyım?,"Adres iletişim bilgilerinde değişiklik/düzeltme olan adaylar, bu bilgilerini https://ais.osym.gov.tr İnternet adresinden kendileri değiştirebileceklerdir. Bu bilgiler, sınavın güncelleme sayfasından yapıldığı takdirde bu sınav ile ilgili işlemlere yansıtılır. Profilim sayfasından yapılan değişiklikler ilgili sınava yansıtılmaz. ÖSYM’nin https://ais.osym.gov.tr İnternet adresinden aday tarafından tüm sınav güncelleme sayfasından yapılan değişiklikler, ancak ÖSYM tarafından belirlenecek tarihlere kadar yapılabilecektir.","https://www.osym.gov.tr/TR,8808/genel.html/37"
Aday işlemleri sisteminde fotoğrafımın süresi dolmuştur uyarısı çıkıyor nasıl ekleyebilirim? ,"Sistemde fotoğraflarının ""Geçerlilik Süresi Dolan"" adaylar; herhangi bir sınava başvuru süreci olmaksızın Sınav Koordinatörlüklerinden (SK) ve SK yetkisi olan başvuru merkezlerinden fotoğraflarını güncelletebilirler.","https://www.osym.gov.tr/TR,8808/genel.html/38"
Sınav sonuçları ne zaman açıklanacak?,"2016 yılından itibaren 2016 Sınav Takviminde sınav sonuçlarının açıklanması planlanan tarihleri verilmiştir. Sınav Takvimine ÖSYM’nin İnternet sayfasından ulaşılabilir. Sınav sonuçlarının belirtilen tarihlerde açıklanması planlanmaktadır ancak, sınava ilişkin bir dava söz konusu olduğu takdirde mahkemece bir karar verildikten sonra sonuçlar açıklanacaktır. Sınav sonuçları açıklandığında web sitemizde duyurular kısmında yayınlanır.","https://www.osym.gov.tr/TR,8808/genel.html/39"
Sınav başvuruları nasıl yapılmaktadır? ,"İlgili sınava ait kılavuza veya temel ilke ve kurallar bilgisine ÖSYM’nin İnternet sayfasından ulaşılabilir. Burada yazan bilgiler doğrultusunda işlem yapılmalıdır.  Sınav başvurularımız için önce başvuru yapılır, daha sonra ücret yatırılır.(EYDS Sınavı hariç)","https://www.osym.gov.tr/TR,8808/genel.html/40"
Yurt dışından sınav başvuruları nasıl yapılır?,"İnternet aracılığıyla bireysel başvuru hakkı olmayan adaylardan, başvuruların yapılacağı tarihler arasında eğitim, tedavi vb. nedenlerle yurt dışında bulunduğu için (KKTC ve Kırgızistan-Bişkek hariç)başvuru merkezine gitmesi mümkün olmayanlar, başvurularını aşağıdaki şekilde yapacaklardır. Posta yolu ile başvuru alınmayacaktır.Bu adaylar, sınava Ankara’da girecekler ve sınava sadece pasaportları ile kabul edileceklerdir. Bu adaylar için sınavda pasaport dışında bir kimlik belgesi kabul edilmeyecektir.1) MERNİS’te Y.U. numarası bulunmayanlar, YU Numarası alacaklardır.2) Yurt dışından başvuru yapmak isteyen adaylar, ÖSYM Çağrı Merkezi’ni başvuru süresi içerisinde bir yurt dışı telefon numarasından arayarak sınava yurt dışından başvuracaklarını bildireceklerdir.3) Adaylar, T.C Kimlik / YU Numarası ve şifresiyle AİS’e giriş yaparak başvuru bilgilerini sisteme kaydedeceklerdir.4) Başvuru işlemini yapan adaylar, başvuru süresince ve başvuru süresi bittikten sonraki ilk gün 23.59’a kadar www.osym.gov.tr İnternet adresinde bulunan ""ÖDEMELER"" alanından kredi kartı/banka kartı ile sınav ücretini yatıracaklardır.5) ÖSYM Aday İşlemleri Sisteminde geçerli bir fotoğrafı bulunmayanlar; fotoğraf alanını boş bırakacaklardır. Ayrıca; adaylar, eğitim bilgileri alanında güncelleme /ekleme yapabileceklerdir.Bu durumdaki adaylar, Ankara’da sınava alınacaklardır.6) Sınav ücretini yatırarak sınava başvurularını tamamlayan sınav tarihinden önceki son resmi iş günü mesai saati bitimine kadar ÖSYM Ankara Sınav Koordinatörlüğüne (Çetin Emeç Bulvarı 1290. Sokak No:2 Yukarı Öveçler-ANKARA) aşağıdaki belgelerle birlikte şahsen başvuru yaparak başvurularını tamamlayacaklar ve Sınava Giriş Belgelerini edinebileceklerdir. Bu belgelerden biri bile eksik olan adayların başvurusu tamamlanmamış olacaktır. Bu adaylar, Sınava Giriş Belgesi edinemezler.a) Doldurulmuş ve aday tarafından imzalanmış Aday Başvuru Kayıt Bilgisib) Başvuru tarihinde yurt dışında bulunduğunu belirten resmî bir belge (pasaportun aslı ve pasaport giriş-çıkış mühürlerinin bulunduğu sayfanın onaylı bir örneği)c) Diploma veya öğrenim durumunu gösterir resmî bir belgenin onaylı örneği (eğitim durumunda herhangi bir güncelleme/ekleme yapılmış ise)7) Yukarıda belirtilen belgeler, başvuru merkezi görevlisince kontrol edilecektir. Adayın geçerli bir fotoğrafı bulunmaması durumunda fotoğrafı çekilecek, eğitim bilgisindeki aday beyanı eğitim bilgilerini gösterir belge doğrultusunda BM görevlisi tarafından sistemde onaylanacaktır","https://www.osym.gov.tr/TR,8808/genel.html/41"
