,text
29,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Okul olarak ÖSYS  için başarı sıramızı öğrenmek istiyoruz, ne yapabiliriz?[/INST] ÖSYM ‘nin İnternet sayfasında yayımlanan istatistiki bilgilere bakmanız gerekmektedir.</s>"
30,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınavla ilgili istatistiki bilgilere nasıl ulaşabiliriz?[/INST] ÖSYM’nin İnternet(www.osym.gov.tr)  sayfasında açıklanan istatistiki bilgilere bakabilirsiniz.</s>
31,<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Geçmiş yıllarda çıkmış soruları toparlayıp kitap haline getirmek istiyoruz. İzlememiz gereken süreç nedir?[/INST] Merkezimize bu konu ile ilgili genel amaçlı dilekçe göndermeniz gerekmektedir.</s>
32,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınav sonucumuza ne zamana kadar itiraz edebiliyoruz?[/INST] Sınav sonucunuza itiraz süresine, sınava ait başvuru kılavuzundan bakabilirsiniz.</s>"
33,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Askerdeyim veya tutukluyum, şifremi nasıl alabilirim?[/INST] Tutuklu ya da zorunlu askerlik görevini yapmakta olanların, bulundukları cezaevi müdürlükleri ya da askeri birlik komutanlarının resmi yazı ile müracaat etmesi halinde, adayın ismine düzenlenmiş kapalı zarf içinde adaya iletilmek üzere şifre verilmektedir.</s>"
34,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Şifremi unuttum, yeni şifre alamıyorum. “Sistemde güvenlik sorunuz tanımlı değildir. “ uyarısı veriyor. Ne yapabilirim?[/INST] Şifre değiştirme işlemi yaparken bir güvenlik sorusu belirlemediğinizden dolayı sistem size bu uyarıyı veriyor. Size en yakın Sınav Koordinatörlüğü yetkisi olan başvuru merkezi konumundaki bir ortaöğretim kurumundan veya sınav Koordinatörlüklerimizden şifre edinebilirsiniz.</s>"
35,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>T.C. kimlik numaramı ve şifremi yazdığım zaman aday işlemleri sistemine giriş yapamıyorum. T.C. kimlik numarası veya şifre hatası uyarısıyla karşılaşıyorum. Ne yapmalıyım?[/INST] Şifreniz yeni kurallara uygun olarak en az 8 haneli en fazla 14 haneli olmalı, en az bir büyük harf,  bir küçük harf,  bir rakam ve bir özel karakter içermelidir. Eğer şifreniz bu koşullara uymuyorsa yeni bir şifre belirleyiniz ya da şifremi unuttum kısmından yeni bir şifre oluşturunuz.</s>"
36,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sistemde kayıtlı olan adres bilgilerimi değiştirmek istiyorum. Bunu ne zaman ve nasıl yapmalıyım?[/INST] Adres iletişim bilgilerinde değişiklik/düzeltme olan adaylar, bu bilgilerini https://ais.osym.gov.tr İnternet adresinden kendileri değiştirebileceklerdir. Bu bilgiler, sınavın güncelleme sayfasından yapıldığı takdirde bu sınav ile ilgili işlemlere yansıtılır. Profilim sayfasından yapılan değişiklikler ilgili sınava yansıtılmaz. ÖSYM’nin https://ais.osym.gov.tr İnternet adresinden aday tarafından tüm sınav güncelleme sayfasından yapılan değişiklikler, ancak ÖSYM tarafından belirlenecek tarihlere kadar yapılabilecektir.</s>"
37,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Aday işlemleri sisteminde fotoğrafımın süresi dolmuştur uyarısı çıkıyor nasıl ekleyebilirim? [/INST] Sistemde fotoğraflarının ""Geçerlilik Süresi Dolan"" adaylar; herhangi bir sınava başvuru süreci olmaksızın Sınav Koordinatörlüklerinden (SK) ve SK yetkisi olan başvuru merkezlerinden fotoğraflarını güncelletebilirler.</s>"
38,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınav sonuçları ne zaman açıklanacak?[/INST] 2016 yılından itibaren 2016 Sınav Takviminde sınav sonuçlarının açıklanması planlanan tarihleri verilmiştir. Sınav Takvimine ÖSYM’nin İnternet sayfasından ulaşılabilir. Sınav sonuçlarının belirtilen tarihlerde açıklanması planlanmaktadır ancak, sınava ilişkin bir dava söz konusu olduğu takdirde mahkemece bir karar verildikten sonra sonuçlar açıklanacaktır. Sınav sonuçları açıklandığında web sitemizde duyurular kısmında yayınlanır.</s>"
39,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Sınav başvuruları nasıl yapılmaktadır? [/INST] İlgili sınava ait kılavuza veya temel ilke ve kurallar bilgisine ÖSYM’nin İnternet sayfasından ulaşılabilir. Burada yazan bilgiler doğrultusunda işlem yapılmalıdır. Sınav başvurularımız için önce başvuru yapılır, daha sonra ücret yatırılır.(EYDS Sınavı hariç)</s>"
40,"<s>[INST]<<SYS>>Sen Türkçe cevap veren yardımcı bir asistansın<</SYS>>Yurt dışından sınav başvuruları nasıl yapılır?[/INST] İnternet aracılığıyla bireysel başvuru hakkı olmayan adaylardan, başvuruların yapılacağı tarihler arasında eğitim, tedavi vb. nedenlerle yurt dışında bulunduğu için (KKTC ve Kırgızistan-Bişkek hariç)başvuru merkezine gitmesi mümkün olmayanlar, başvurularını aşağıdaki şekilde yapacaklardır. Posta yolu ile başvuru alınmayacaktır.Bu adaylar, sınava Ankara’da girecekler ve sınava sadece pasaportları ile kabul edileceklerdir. Bu adaylar için sınavda pasaport dışında bir kimlik belgesi kabul edilmeyecektir.1) MERNİS’te Y.U. numarası bulunmayanlar, YU Numarası alacaklardır.2) Yurt dışından başvuru yapmak isteyen adaylar, ÖSYM Çağrı Merkezi’ni başvuru süresi içerisinde bir yurt dışı telefon numarasından arayarak sınava yurt dışından başvuracaklarını bildireceklerdir.3) Adaylar, T.C Kimlik / YU Numarası ve şifresiyle AİS’e giriş yaparak başvuru bilgilerini sisteme kaydedeceklerdir.4) Başvuru işlemini yapan adaylar, başvuru süresince ve başvuru süresi bittikten sonraki ilk gün 23.59’a kadar www.osym.gov.tr İnternet adresinde bulunan ""ÖDEMELER"" alanından kredi kartı/banka kartı ile sınav ücretini yatıracaklardır.5) ÖSYM Aday İşlemleri Sisteminde geçerli bir fotoğrafı bulunmayanlar; fotoğraf alanını boş bırakacaklardır. Ayrıca; adaylar, eğitim bilgileri alanında güncelleme /ekleme yapabileceklerdir.Bu durumdaki adaylar, Ankara’da sınava alınacaklardır.6) Sınav ücretini yatırarak sınava başvurularını tamamlayan sınav tarihinden önceki son resmi iş günü mesai saati bitimine kadar ÖSYM Ankara Sınav Koordinatörlüğüne (Çetin Emeç Bulvarı 1290. Sokak No:2 Yukarı Öveçler-ANKARA) aşağıdaki belgelerle birlikte şahsen başvuru yaparak başvurularını tamamlayacaklar ve Sınava Giriş Belgelerini edinebileceklerdir. Bu belgelerden biri bile eksik olan adayların başvurusu tamamlanmamış olacaktır. Bu adaylar, Sınava Giriş Belgesi edinemezler.a) Doldurulmuş ve aday tarafından imzalanmış Aday Başvuru Kayıt Bilgisib) Başvuru tarihinde yurt dışında bulunduğunu belirten resmî bir belge (pasaportun aslı ve pasaport giriş-çıkış mühürlerinin bulunduğu sayfanın onaylı bir örneği)c) Diploma veya öğrenim durumunu gösterir resmî bir belgenin onaylı örneği (eğitim durumunda herhangi bir güncelleme/ekleme yapılmış ise)7) Yukarıda belirtilen belgeler, başvuru merkezi görevlisince kontrol edilecektir. Adayın geçerli bir fotoğrafı bulunmaması durumunda fotoğrafı çekilecek, eğitim bilgisindeki aday beyanı eğitim bilgilerini gösterir belge doğrultusunda BM görevlisi tarafından sistemde onaylanacaktır</s>"
