source,concept,description
SQuAD Dataset,19. yüzyılın sonlarında Notre Dame Bilim Müzesi Direktörü neydi?,"Peder Joseph Carrier, C.S.C."
SQuAD Dataset,John Augustine Zahm hangi programı Nore Dame'de birlikte yönetti?,Bilim Bölümü
SQuAD Dataset,John Zahm 1896'da hangi kitabı yazdı?,Evrim ve Dogma
SQuAD Dataset,Peder Josh Carrier Notre Dame'de hangi profesörlüğe sahipti?,Kimya ve Fizik Profesörü
SQuAD Dataset,Albert Zahm hangi yıl Notre Dame'deki havacılık modelleri karşılaştırmaya başladı?,1882
SQuAD Dataset,ABD'de ilk kablosuz mesajı hangi profesör gönderdi?,Profesör Jerome Green
SQuAD Dataset,Jerome Green ilk kablosuz mesajını hangi yılda gönderdi?,1899 civarı
SQuAD Dataset,Hangi Notre Dame enstitüsünün kurulmasında mikropsuz bir yaşam üzerinde çalışıldı?,Lobund Enstitüsü
SQuAD Dataset,Notre Dame Lobundu ne zaman bağımsız hale geldi?,1940'lar
SQuAD Dataset,Notre Dame'deki Lobund hangi yıl Enstitü oldu?,1950
SQuAD Dataset,Lobund Enstitüsü Notre Dame Biyoloji Bölümü'ne hangi yılda birleştirildi?,1958
SQuAD Dataset,Notre Dame'de mikropsuz bir yaşam incelemesi ne zaman başladı?,1928
SQuAD Dataset,Gurian 1939'da Notre Dame'de ne yarattı?,Politikanın Gözden Geçirilmesi
SQuAD Dataset,Politikanın Gözden Geçirilmesinden ne ilham aldı?,Alman Katolik dergileri
SQuAD Dataset,"Thomas Stritch, Notre Dame'den hangi yayıncının editörüydü?",Politikanın Gözden Geçirilmesi
SQuAD Dataset,2012'de Notre Dame'nin başkanı kimdi?,John Jenkins
SQuAD Dataset,Kellogg Uluslararası Araştırmalar Enstitüsü hangi üniversitenin bir parçasıdır?,Notre Dame
SQuAD Dataset,Notre Dame hangi yıl Küresel Uyum Endeksine ev sahipliği yapmaya başladı?,2013
SQuAD Dataset,Küresel Uyum İndeksi hangi tehdidi inceliyor?,iklim değişikliği
SQuAD Dataset,Notre Dame kampüsünde lisans öğrencilerinin yüzde kaçı yaşıyor?,% 80
SQuAD Dataset,Notre Dame'nin lisansüstü öğrencileri için kaç tane öğrenci konut alanı ayrılmıştır?,dört
SQuAD Dataset,Notre Dame kampüsünde erkekler için kaç yurt var?,15
SQuAD Dataset,Notre Dame'deki yüksek lisans öğrencisi kampüste ne kadar yaşıyor?,% 20
SQuAD Dataset,Notre Dame'de kadınlar için kaç yurt var?,14
SQuAD Dataset,Notre Dame'deki Ana Bina hangi yıl yangına karıştı?,1879
SQuAD Dataset,1879'da Notre Dame'nin başkanı kimdi?,Rev. William Corby
SQuAD Dataset,Notre Dame'de ulusal standartları benimsemeden önce ne tür bir eğitim uygulandı?,skolastik ve klasik
SQuAD Dataset,Notre Dame 1921'de hangi koleji ekledi?,Ticaret Koleji
SQuAD Dataset,20. yüzyılın başlarında Notre Dame'de üstlenilen ulusal standartlarda kaç yıl boyunca bir değişiklik oldu?,üç yıl
SQuAD Dataset,"Notre Dame futbol takımı 1918'de yeni bir koç aldı, kimdi?",Knute Rockne
SQuAD Dataset,Knute Rockne Notre Dame'de antrenörlük yaparken kaç ulusal şampiyonluk kazandı?,üç
SQuAD Dataset,1933'te hangi kişi Notre Dame başkan yardımcısı oldu?,Baba John Francis O'Hara
SQuAD Dataset,1934'te Notre Dame'nin başkanı kimdi?,Baba John Francis O'Hara
SQuAD Dataset,Irvin Abell'e Notre Dame tarafından hangi ödül verildi?,Laetare Madalyası
SQuAD Dataset,Laetare Madalyası ilk olarak Notre Dame'de verildi?,1883
SQuAD Dataset,"Peder O'Hara, Notre Dame futbol takımının kimin için oynadığına inanıyordu?",Tanrı
SQuAD Dataset,Rev. Cavanaugh'un Notre Dame'ın başkanı olduğu süre boyunca Notre Dame'ın lisans öğrencisi vücudu ne kadar arttı?,yarıdan fazla
SQuAD Dataset,Notre Dame'de Cavanaugh hayvan yaşamını içeren hangi enstitü kurdu?,Lobund Hayvan Araştırmaları Enstitüsü
SQuAD Dataset,Eskiden Notre Dame O'Shaughnessy Salonu olarak biliniyordu?,Liberal Sanatlar Salonu
SQuAD Dataset,Notre Dame'nin 1947'de hangi cumhurbaşkanı vardı?,"Rev. John J. Cavanaugh, C.S.C."
SQuAD Dataset,"Hayvanlar üzerinde çalışan bir enstitünün dışında, Cavanugh Notre Dame'de başka hangi enstitüleri yarattı?",Ortaçağ Enstitüsü
SQuAD Dataset,Theodore Hesburgh'un ömrü neydi?,1917-2015
SQuAD Dataset,Hesburgh'un Notre Dame'in başkanı olduğu dönemde işletme bütçesi hangi faktör tarafından arttı?,18
SQuAD Dataset,Theodore Hesburgh başkan olduğunda Notre Dame bağışının büyüklüğü neydi?,9 milyon dolar
SQuAD Dataset,Hesburgh başkanlık görevinden ayrıldığında Notre Dame'de kaç öğretim üyesi vardı?,950
SQuAD Dataset,Thomas Blantz'ın Notre Dame'de hangi başlığı vardı?,Öğrenci İşleri Başkan Yardımcısı
SQuAD Dataset,Edward Malloy başkan olduğunda Notre Dame'deki ortalama SAT puanı neydi?,1240
SQuAD Dataset,"Malloy Notre Dame'in başkanı olduğunda, bağışın büyüklüğü neydi?",350 milyon dolar
SQuAD Dataset,Notre Dame'deki profesörlerin sayısı Malloy altında ne kadar arttı?,500
SQuAD Dataset,John Jenkins ne zaman Notre Dame'in başkanı oldu?,2005
SQuAD Dataset,"Notre Dame'in sahip olduğu cumhurbaşkanlarının sayısı açısından, listede John Jenkins nerede?",17
SQuAD Dataset,John Jenkins'ten önceki Notre Dame başkanı kimdi?,Malloy
SQuAD Dataset,Notre Dame Eski Koleji'nden hangi cemaat sorumlu?,Kutsal Haç Cemaati
SQuAD Dataset,Notre Dame'deki öğrenci sendika binası hangi yıl LaFortune Merkezi olarak yeniden adlandırıldı?,1950
SQuAD Dataset,Hangi kişiye LaFortune Merkezi Notre Dame adı verildi?,Joseph LaFortune
SQuAD Dataset,Notre Dame'de bu ev öğrencilerine kaç salon var?,29
SQuAD Dataset,1963 yılında Notre Dame'de hangi kütüphane inşa edildi?,Theodore Hesburgh Kütüphanesi
SQuAD Dataset,Notre Dame hangi yıl Sürdürülebilirlik Ofisi'ni yarattı?,2008
SQuAD Dataset,Notre Dame'de servis edilen yiyeceklerin yüzde kaçı yerel olarak yetiştiriliyor?,% 40
SQuAD Dataset,"Notre Dame hangi kuruluştan sürdürülebilirlik uygulamaları için bir ""B"" aldı?",Sürdürülebilir Vakıflar Enstitüsü
SQuAD Dataset,Notre Dame ilk olarak İngiltere'de bir tesise sahip oldu mu?,1968
SQuAD Dataset,Notre Dame Sanat ve Edebiyat Koleji hangi yılda kuruldu?,1842
SQuAD Dataset,Notre Dame müfredatını hangi üniversiteye dayandırdı?,Saint Louis Üniversitesi
SQuAD Dataset,Notre Dame Sanat ve Edebiyat Fakültesi kaç lisans derecesi sunuyor?,33
SQuAD Dataset,Notre Dame Bilim Koleji hangi yılda kuruldu?,1865
SQuAD Dataset,Notre Dame'de Patrick Dillon yönetiminde kaç yıl sürdü?,altı yıl
SQuAD Dataset,Notre Dame'deki hangi salon şu anki Fen Fakültesi'ni içeriyor?,Ürdün Bilim Salonu
SQuAD Dataset,Bugün Notre Dame Bilim Koleji'ne kaç lisans öğrencisi katılıyor?,1.200'den fazla
SQuAD Dataset,Notre Dame Mimarlık Okulu'nda öğrenim süresi ne kadardır?,beş yıl
SQuAD Dataset,Notre Dame Mimarlık Okulu öğrencileri 3. yıllarını nerede geçiriyorlar?,Roma
SQuAD Dataset,Notre Dame Mimarlık Okulu hangi prestijli ödülü veriyor?,Driehaus Mimarlık Ödülü
SQuAD Dataset,"Anton-Hermann Chroust, Notre Dame'e nereden geldi?",Almanya
SQuAD Dataset,Anton-Hermann Chroust hangi alanda uzmanlaştı?,klasikler ve hukuk
SQuAD Dataset,Waldemar Gurian doktorasını ararken vesayetini kim aldı?,Max Scheler
SQuAD Dataset,Notre Dame ne tür bir kurum?,Katolik araştırma üniversitesi
SQuAD Dataset,Fransızca Notre Dame du Lac kelimesi ne İngilizceye tercüme edilir?,Gölün Leydi
SQuAD Dataset,Notre Dame dönüm olarak ne kadar büyük?,1.250
SQuAD Dataset,Notre Dame'nin 20. yüzyılın başlarında kayda değer hale gelmesine ne neden oldu?,Fighting Irish futbol takımı
SQuAD Dataset,Hangi 20. yüzyıl Notre Dame futbol antrenörü en dikkat çekici?,Knute Rockne
SQuAD Dataset,Notre Dame'deki öğrenci sporcuları hangi atletik dernekler arasındadır?,NCAA Bölüm I
SQuAD Dataset,Notre Dame'nin kaç tane kolej üyesi?,dört
SQuAD Dataset,Peder Edward Sorin'e hangi yılda bir kolej kurması için iki yıl verildi?,1842
SQuAD Dataset,Hangi kişi Peder Edward Sorin'e toprak teklif etti?,Célestine Guynemer de la Hailandière
SQuAD Dataset,Peder Edward Sorin hangi kiliseyi temsil ediyordu?,Kutsal Haç Cemaati
SQuAD Dataset,Kutsal Haç'tan kardeşler Notre Dame'ın gelecekteki yerine hangi tarihte geldiler?,26 Kasım 1842
SQuAD Dataset,Notre Dame'de ilk dereceler hangi yıl verildi?,1849
SQuAD Dataset,Orijinal Sorin yapımı Ana Bina hangi yılda değiştirildi?,1865
SQuAD Dataset,Hangi kişi Notre Dame'de bir kütüphaneye başladı?,Peder Lemonnier
SQuAD Dataset,Notre Dame'deki kütüphane hangi yılda 10.000 kitaba ulaştı?,1879
SQuAD Dataset,Notre Dame'deki kütüphane hangi yılda başladı?,1873
SQuAD Dataset,Hangi radyo istasyonu Notre Dame öğrencilerine 88.9 FM'de radyo sağlıyor?,WSND-FM
SQuAD Dataset,Notre Dame'nin hangi internet radyo istasyonu internet akışı olarak kullanılıyor?,WVFI
SQuAD Dataset,Eddy Street Commons at Notre Dame'nin fiyatı ne kadar?,215 milyon dolar
SQuAD Dataset,Şu anda Notre Dame spor takımlarına kimler üniforma veriyor?,Zırh Altında
SQuAD Dataset,Notre Dame bandosu ne zaman oluştu?,1846
SQuAD Dataset,Notre Dame futbolu hangi yılda başladı?,1887
SQuAD Dataset,Notre Dame hangi takıma karşı Mücevherli Shillelagh için yarışıyor?,USC
SQuAD Dataset,Notre Dame açısından Kolej Futbol Onur Listesi'ndeki öğrencilerin adı ne kadar?,en çok
SQuAD Dataset,1916'dan 1920'e Notre Dame'de hangi önemli futbolcu oynadı?,George Gipp
SQuAD Dataset,"1940 yapımı ""Knute Rockne"" filminde hangi kişi Knute Rockne'u canlandırdı?",Pat O'Brien
SQuAD Dataset,"Ronald Reagan 1940'larda ""Knute Rockne?""",Gipp
SQuAD Dataset,Kaç okul kazanma açısından Notre Dame ile benzer bir erkek basketbol rekoruna sahip?,12
SQuAD Dataset,Notre Dame erkek basketbol takımı kaç NCAA turnuvasına katıldı?,28
SQuAD Dataset,Hangi Notre Dame erkek basketbolcusu bir oyunda daha fazla puan rekoruna sahip?,Austin Carr
SQuAD Dataset,2014 yılında Notre Dame erkek basketbol koçu kimdi?,Mike Brey
SQuAD Dataset,Notre Dame Zafer Yürüyüşü'ne orijinal şarkı sözlerini kim yazdı?,John F. Shea
SQuAD Dataset,Michael J. Shea Notre Dame'den hangi yıl mezun oldu?,1904
SQuAD Dataset,"""Notre Dame Zafer Yürüyüşü"" müziğini yazmaktan kim sorumlu?",Rev. Michael J. Shea
SQuAD Dataset,"""Notre Dame Zafer Yürüyüşü"" hangi yılda telif hakkıyla korunuyor?",1928
SQuAD Dataset,"""Notre Dame Fight Song"" daki sadık oğullar nereye yürüyor?",zafere doğru
SQuAD Dataset,"Ronald Reagan'ın bir takma adı vardı, neydi?",Gipper
SQuAD Dataset,Rudy filminde Daniel Ruettiger rolünü kim oynadı?,Sean Astin
SQuAD Dataset,Uçak filminde Ted Striker'ın eski bir arkadaşı hangisiydi?,George Zipp
SQuAD Dataset,"Pat O'Brien, Knute Rockne filminde hangi kişiyi canlandırdı?",Knute Rockne
SQuAD Dataset,Hangi Dışişleri Bakanı Notre Dame'e katıldı?,Condoleezza Rice
SQuAD Dataset,Fen Fakültesi'nden hangi Notre Dame mezunu Nobel Ödülü kazandı?,Eric F. Wieschaus
SQuAD Dataset,Notre Dame'in şu anki başkanı kim?,Rev. John Jenkins
SQuAD Dataset,Beyonce hangi şehirde ve eyalette büyüdü?,"Houston, Teksas"
SQuAD Dataset,Beyonce hangi şehirde büyüdü?,Houston
SQuAD Dataset,Beyonce hangi tarihte doğdu?,4 Eylül 1981
SQuAD Dataset,Beyoncé'nin Destiny's Child'da nasıl bir rolü vardı?,baş şarkıcı
SQuAD Dataset,Beyoncé ilk solo albümü için kaç Grammy ödülü kazandı?,beş
SQuAD Dataset,Beyoncé'nin Destiny's Child'daki rolü neydi?,baş şarkıcı
SQuAD Dataset,İkinci solo albümünün ardından Beyonce başka hangi eğlence girişimini keşfetti?,oyunculuk
SQuAD Dataset,Beyonce ilk Altın Küre adaylığını hangi film için aldı?,Dreamgirls
SQuAD Dataset,Beyonce kariyerine ne zaman bir ara verdi ve yönetiminin kontrolünü ele geçirdi?,2010
SQuAD Dataset,Önceki albümünden hangi albüm daha koyu renkteydi?,Beyoncé
SQuAD Dataset,Destiny's Child gruplarına ne zaman son verdi?,Haziran 2005
SQuAD Dataset,Beyoncé'nin ikinci solo albümünün adı neydi?,B'Day
SQuAD Dataset,2006 yılında Beyoncé'nin ilk oyunculuk işi neydi?,Dreamgirls
SQuAD Dataset,Beyoncé alter-ego'nun adı nedir?,Sasha Fierce
SQuAD Dataset,Beyonce kendini feminist olarak nasıl tanımladı?,modern feminist
SQuAD Dataset,Beyonce 19 yıllık kariyerinde kaç kayıt sattı?,118 milyon
SQuAD Dataset,"Beyoncé, Destiny's Child'ın bir parçası olarak kaç kayıt sattı?",60 milyon
SQuAD Dataset,Destiny's Child'dan ayrıldıktan sonra Beyoncé kendi adıyla kaç kayıt yayınladı?,118 milyon
SQuAD Dataset,Beyoncé kaç Grammy ödülü kazandı?,20
SQuAD Dataset,Beyonce adını nereden aldı?,annesinin kızlık soyadı
SQuAD Dataset,Beyonce'nin annesi hangi sektörde çalıştı?,kuaför ve salon sahibi
SQuAD Dataset,Beyonce'nin hangi küçük kız kardeşi de Destiny's Child'da ortaya çıktı?,Solange
SQuAD Dataset,Beyoncé çocukken Beyoncé'nin annesi neye sahipti?,salon
SQuAD Dataset,Beyoncé'nin kız kardeşinin adı nedir?,Solange
SQuAD Dataset,Beyonce hangi kasabada okula gitti?,Fredericksburg
SQuAD Dataset,Beyoncé ilköğretim okulu hangi şehirde idi?,Fredericksburg
SQuAD Dataset,Beyonce'nin grubunu Star Search'e yetenek şovunu yerleştirmeye kim karar verdi?,Arne Frager
SQuAD Dataset,1995 yılında kız şarkı grubunu yönetmeye kim karar verdi?,Beyoncé'nin babası
SQuAD Dataset,Kim Beyonce'u California'ya getirdi ve grubuna Yıldız Arama'ya girdi?,Arne Frager
SQuAD Dataset,"Beyonce'nin babası, grubunu yönetmek için işini hangi yıl bıraktı?",1995
SQuAD Dataset,Kızın Tyme'sini Star Search'e kim yerleştirdi?,Arne Frager
SQuAD Dataset,Beyoncé kız grubunu ne zaman yönetmeye başladı?,1995
SQuAD Dataset,Beyonce'nin grubu adını hangi yılda Destiny's Child olarak değiştirdi?,1996
SQuAD Dataset,Destiny's Child ismi Kutsal Kitap'ın hangi kitabında yer alan bir alıntıya dayanıyordu?,İşaya Kitabı
SQuAD Dataset,Beyonce hangi zihinsel sağlık sorununu yaşadı?,depresyon
SQuAD Dataset,Beyonce ne kadar süre bunaldı?,birkaç yıl
SQuAD Dataset,Luckett ve Roberson'ın Destiny's Child'dan ayrılması için kim suçlandı?,Beyoncé
SQuAD Dataset,Hangi en yeni üye Destiny's Child'dan çıkarıldı?,Farrah Franklin
SQuAD Dataset,"Tek ""Bağımsız Kadınlar I. Bölüm"" kaç hafta üstte kaldı?",on bir
SQuAD Dataset,Beyonce hangi ağ için önemli bir film rolü üstlendi?,MTV
SQuAD Dataset,Hangi Fransız besteci 19. yüzyılda orijinal opera '' Carmen '' i yazdı?,Georges Bizet
SQuAD Dataset,Survivor hakkında kim dava açtı?,Luckett ve Roberson
SQuAD Dataset,Destiny'nin Çocuğu aralarını ne zaman ilan etti?,Ekim 2001
SQuAD Dataset,"Beyonce, ""Austin Golds in Gold üye"" filminde kiminle oynadı?",Mike Myers
SQuAD Dataset,"Beyonce'nin ""Work It Out"" şarkısı hangi üç ülkede ilk on sırayı aldı?","İngiltere, Norveç ve Belçika"
SQuAD Dataset,"""Gold üye"" filmi hangi miktarda brüt?",73 milyon
SQuAD Dataset,Beyonce hangi yıl Avrupa Tehlikeli Aşık turuna başladı?,Kasım 2003
SQuAD Dataset,"""Yeri doldurulamaz"" şarkısı kaç ülkeye girdi?",beş
SQuAD Dataset,İkinci albümü kaç single üretti?,beş
SQuAD Dataset,Beyonce'nin B'Day albümü hangi doğum gününü kutladı?,yirmi beşinci doğum günü
SQuAD Dataset,Beyoncé'nin ikinci albümünün adı nedir?,B'Day
SQuAD Dataset,İkinci filmi Beyonce hangi filmi yaptı?,Dreamgirls
SQuAD Dataset,"Tek, ""Dinle"" hangi filmde yer aldı?",Dreamgirls
SQuAD Dataset,"Üçüncü albümü ""Ben ... Sasha Fierce"" ne zaman piyasaya sürüldü?",18 Kasım 2008
SQuAD Dataset,Evliliği nasıl ortaya çıkardı?,video montajında
SQuAD Dataset,Beyoncé'nin alter egosu kimdir?,Sasha Fierce
SQuAD Dataset,Beyonce filmde hangi karakteri canlandırdı Cadillac Records?,Etta James
SQuAD Dataset,Beyillacé Cadillac Records'ta hangi şarkıcıyı canlandırdı?,Etta James
SQuAD Dataset,Beyonce 52. Grammy Ödülleri'nde kaç ödül için aday gösterildi?,on
SQuAD Dataset,Beyoncé 52. Grammy Ödülleri töreninde kaç aday gösterdi?,on
SQuAD Dataset,Beyonce hangi yılda müzik dinliyor?,2010
SQuAD Dataset,Beyonce ve babası hangi yıl iş yollarına ayrıldı?,2010
SQuAD Dataset,Beyonce hangi yıl ara verdi?,2010
SQuAD Dataset,Hiatus ne kadar sürdü?,dokuz ay
SQuAD Dataset,Beyoncé Ocak 2010'da ne duyurdu?,bir ara
SQuAD Dataset,Hiatusu ne kadar sürdü?,dokuz ay
SQuAD Dataset,Beyonce ile Muammar Kaddafi yüzeyinde hangi yıl performans sergiledi?,2011
SQuAD Dataset,Beyonce şovlarından kazandığı parayı kim bağışladı?,Clinton Bush Haiti Fonu
SQuAD Dataset,Beyonce 20 yıl boyunca hangi aşamada solo performans gösteren ilk kadın sanatçı oldu?,2011 Glastonbury Festivali
SQuAD Dataset,Beyonce'nin sözcüsü bağışlarını hangi kuruluşa doğruladı?,The Huffington Post
SQuAD Dataset,Beyonce 2011 yılında neye göre en yüksek ücretli sanatçı olarak gösterildi?,dakika
SQuAD Dataset,Herkes Beyonce'nin Kaddafi için gerçekleştirdiğini öğrendi mi?,WikiLeaks tarafından elde edilen belgeler
SQuAD Dataset,Bu sızıntı ne zaman oldu?,2011
SQuAD Dataset,Bağış hakkında kim söyledi?,The Huffington Post
SQuAD Dataset,Beyonce 2011 yılında nerede performans gösterdi?,Glastonbury Festivali
SQuAD Dataset,Beyoncé'nin Libya hükümdarı hakkındaki performansı hakkında kim bilgi verdi?,WikiLeaks
SQuAD Dataset,Beyonce'nin dördüncü albümü hangi yılda çıktı?,2011
SQuAD Dataset,Beyonce'nin dördüncü albümü ne zaman piyasaya sürüldü?,28 Haziran 2011
SQuAD Dataset,Albüm ilk haftasında kaç kopya sattı?,310.000 kopya
SQuAD Dataset,Roseland balo salonunda ne zaman sahne aldı?,2011
SQuAD Dataset,Beyoncé'nin dördüncü stüdyo albümünün adı nedir?,4
SQuAD Dataset,4 ne zaman piyasaya sürüldü?,28 Haziran 2011
SQuAD Dataset,Beyonce ilk çocuğunu ne zaman aldı?,7 Ocak 2012
SQuAD Dataset,Beyonce ilk çocuğunu nerede doğurdu?,Lenox Hill Hastanesi
SQuAD Dataset,Doğumdan bu yana performans sergilediği ilk yer neydi?,Revel Atlantic City Ovation Hall
SQuAD Dataset,Beyonce ilk çocuğunu ne zaman aldı?,7 Ocak 2012
SQuAD Dataset,Çocuğunun doğumundan sonra tekrar performans göstermesi ne kadar sürdü?,Beş ay
SQuAD Dataset,Atlantic City'de kaç gece sahne aldı?,dört gece
SQuAD Dataset,Beyoncé ne zaman bir kız çocuğu doğurdu?,7 Ocak 2012
SQuAD Dataset,Beyoncé'nin doğumdan sonraki ilk halka açık performansı neredeydi?,Revel Atlantic City Ovation Hall
SQuAD Dataset,Beyoncé tesiste kaç gece oynadı?,dört
SQuAD Dataset,"Destiny's Child ""Love Songs"" albümünü ne zaman çıkardı?",Ocak 2013
SQuAD Dataset,Ulusal Marşı kimin göreve başladı?,Başkan Obama
SQuAD Dataset,"Destiny's Child, Love Songs'u ne zaman çıkardı?",Ocak 2013
SQuAD Dataset,Beyoncé Başkan Obama'nın ikinci açılışında ne söyledi?,Amerikan milli marşı
SQuAD Dataset,"Beyonce'nin ""Bayan Carter Gösterisi"" kaç randevu aldı?",132
SQuAD Dataset,Tur ne zaman başladı?,15 Nisan
SQuAD Dataset,Epic filmi için hangi kısmı seslendirdi?,Kraliçe Tara
SQuAD Dataset,Beyoncé'nin 15 Nisan'da başlattığı turun adı neydi?,Bayan Carter Show Dünya Turu
SQuAD Dataset,Bayan Carter Show Dünya Turu'nun kaç tarihi var?,132
SQuAD Dataset,"Filmdeki hangi karakter, Epic Beyoncé tarafından seslendirildi?",Kraliçe Tara
SQuAD Dataset,Beyonce arka arkaya beşinci hit albümünü ne zaman aldı?,13 Aralık 2013
SQuAD Dataset,Beyoncé beşinci stüdyo albümünü ne zaman çıkardı?,13 Aralık 2013
SQuAD Dataset,"Beyoncé, beşinci albümünün kaç dijital kopyasını altı günde sattı?",bir milyon
SQuAD Dataset,Beyonce 57. Grammy Ödülleri'nde onunla birlikte kaç ödül aldı?,üç
SQuAD Dataset,Beyonce 57. Grammy Ödülleri'nde kaç ödül aldı?,üç
SQuAD Dataset,Beyonce 2015'te üç Grammy kazanırsa kaç tanesine aday gösterildi?,altı ödül
SQuAD Dataset,Beyoncé 57. yıllık Grammys'de kaç ödül için aday gösterildi?,altı
SQuAD Dataset,Beyoncé 57. Yıllık Grammy'de kaç ödül kazandı?,üç
SQuAD Dataset,Beyonce bekar Formasyonunu hangi gün serbest bıraktı?,6 Şubat 2016
SQuAD Dataset,Şarkı ne tür bir platform yayınlandı?,müzik akışı
SQuAD Dataset,Beyoncé Formasyonu ne zaman serbest bıraktı?,6 Şubat 2016
SQuAD Dataset,Nisan 2014 itibarıyla Jay Z ve Beyonce birlikte kaç albüm sattı?,300 milyon
SQuAD Dataset,Beyonce nerede hamile kaldı?,Paris
SQuAD Dataset,"Beyonce neyi ""dayanması gereken en zor şey"" olarak nitelendirdi?",düşük
SQuAD Dataset,Birlikte rekorlar nasıl satıldı?,300 milyon
SQuAD Dataset,Beyonce çocuğunun düşüküyle nasıl başa çıktı?,müzik yazdı
SQuAD Dataset,Beyonce hamile kaldığında neredeydi?,Paris
SQuAD Dataset,Beyoncé ve Jay Z kaç tane rekor birleştirdi?,300 milyon
SQuAD Dataset,Beyoncé hayatındaki en üzücü şey olarak neyi tanımladı?,düşük
SQuAD Dataset,2011 Ağustos ayında Jay Z ve Beyonce hangi etkinliğe birlikte katıldılar?,MTV Video Müzik Ödülleri
SQuAD Dataset,2011 MTV Müzik Ödülleri'ni kaç kişi izledi?,12.4 milyon
SQuAD Dataset,Hamileliğini nerede ilan etti?,2011 MTV Video Müzik Ödülleri
SQuAD Dataset,Yayın neden tarihin en çok izlenenleriydi?,Görünüşü
SQuAD Dataset,Beyoncé hamileliğini nerede duyurdu?,2011 MTV Video Müzik Ödülleri
SQuAD Dataset,2011 MTV Video Müzik Ödüllerini kaç kişi izledi?,12.4 milyon
SQuAD Dataset,Bebek hangi hastaneye teslim edildi?,Lenox Hill Hastanesi
SQuAD Dataset,Beyoncé kızını ne zaman doğurdu?,7 Ocak 2012
SQuAD Dataset,Beyonce ve Jay-Z kimin beraat etmesi için mitinge gittiler?,George Zimmerman
SQuAD Dataset,"Beyonce, 40/40 Kulübünde Obama için ne kadar yükseldi?",4 milyon
SQuAD Dataset,Temmuz 2013'te neler katıldılar?,bir miting
SQuAD Dataset,"Beyoncé, Obamas'ın ilk açılış dansında hangi şarkıyı yaptı?",Sonunda
SQuAD Dataset,Beyoncé kağıt oylamanın bir resmini hangi sosyal medya platformuna yükledi?,Tumblr
SQuAD Dataset,Ne zaman onun feminist olduğunu söyledi?,Nisan 2013
SQuAD Dataset,Beyoncé şarkısında Flawless olan Nijeryalı yazarın kullandığı kelimeleri mi kullandı?,Chimamanda Ngozi Adichie
SQuAD Dataset,Önemli bir BM zirvesi ne zaman gerçekleşti?,Eylül 2015
SQuAD Dataset,"Beyonce, ONE Kampanyası için ne zaman bir mektup imzaladı?",2015
SQuAD Dataset,Mektup kime hitap etti?,Angela Merkel ve Nkosazana Dlamini-Zuma
SQuAD Dataset,Ne zaman buluşacaklar?,Eylül 2015
SQuAD Dataset,Mektup kime hitap etti?,Angela Merkel ve Nkosazana Dlamini-Zuma
